"","gene","length"
"96","PHF13",918
"97","THAP3",832
"98","DNAJC11",1755
"99","CAMTA1",5414
"100","VAMP3",323
"101","PER3",3735
"102","UTS2",608
"103","TNFRSF9",798
"104","PARK7",595
"105","ERRFI1",1473
"106","SLC45A1",2282
"107","RERE",4881
"108","ENO1",1419
"109","CA6",1345
"110","SLC2A7",1594
"111","SLC2A5",1722
"112","GPR157",1023
"113","H6PD",2429
"114","SPSB1",827
"115","SLC25A33",996
"116","TMEM201",2067
"117","PIK3CD",3417
"118","CLSTN1",3036
"119","CTNNBIP1",256
"120","LZIC",598
"121","NMNAT1",901
"122","RBP7",420
"123","UBE4B",4296
"124","KIF1B",7610
"125","PGD",1512
"126","CENPS",552
"127","CENPS-CORT",773
"128","CORT",323
"129","DFFA",1042
"130","PEX14",1174
"131","CASZ1",5367
"132","C1orf127",2527
"133","TARDBP",1390
"134","MASP2",2450
"135","SRM",944
"136","EXOSC10",2778
"137","MTOR",7930
"138","ANGPTL7",1061
"139","UBIAD1",1035
"140","DISP3",4311
"141","FBXO2",916
"142","FBXO44",820
"143","FBXO6",902
"144","MAD2L2",710
"145","DRAXIN",1075
"146","AGTRAP",737
"147","C1orf167",4501
"148","MTHFR",2289
"149","CLCN6",3050
"150","NPPA",466
"151","NPPB",415
"152","KIAA2013",2029
"153","PLOD1",2274
"154","MFN2",2716
"155","MIIP",1207
"156","TNFRSF8",1858
"157","TNFRSF1B",1444
"158","VPS13D",13507
"159","DHRS3",934
"160","AADACL4",1239
"161","AADACL3",1239
"162","CFAP107",600
"163","PRAMEF12",1462
"164","PRAMEF1",1435
"165","PRAMEF11",1447
"166","HNRNPCL1",882
"167","PRAMEF2",1435
"168","PRAMEF4",1447
"169","PRAMEF10",1435
"170","PRAMEF7",1435
"171","PRAMEF6",1441
"172","PRAMEF27",1447
"173","HNRNPCL3",882
"174","PRAMEF25",1447
"175","HNRNPCL2",882
"176","PRAMEF26",1762
"177","HNRNPCL4",882
"178","PRAMEF9",1447
"179","PRAMEF13",1569
"180","PRAMEF18",1450
"181","PRAMEF5",1441
"182","PRAMEF8",1435
"183","PRAMEF33",1435
"184","PRAMEF15",1447
"185","PRAMEF14",1435
"186","PRAMEF19",1450
"187","PRAMEF17",1435
"188","PRAMEF20",1438
"189","LRRC38",890
"190","PDPN",799
"191","PRDM2",5261
"192","KAZN",2995
"193","TMEM51",767
"194","FHAD1",4673
"195","EFHD2",738
"196","CTRC",842
"197","CELA2A",845
"198","CELA2B",845
"199","CASP9",1396
"200","DNAJC16",2442
"201","AGMAT",1089
"202","DDI2",3177
"203","RSC1A1",1854
"204","PLEKHM2",3155
"205","SLC25A34",935
"206","TMEM82",1057
"207","FBLIM1",1384
"208","UQCRHL",276
"209","SPEN",11065
"210","ZBTB17",2520
"211","SRARP",515
"212","HSPB7",877
"213","CLCNKA",2154
"214","CLCNKB",2300
"215","FAM131C",873
"216","EPHA2",3011
"217","ARHGEF19",2479
"218","CPLANE2",797
"219","FBXO42",2194
"220","SZRD1",474
"221","SPATA21",2119
"222","NECAP2",933
"223","NBPF1",3530
"224","CROCC",6234
"225","MFAP2",587
"226","ATP13A2",3919
"227","ENSG00000288636",327
"228","SDHB",878
"229","PADI2",2075
"230","PADI1",2067
"231","PADI3",2070
"232","PADI4",2113
"233","PADI6",2160
"234","RCC2",1624
"235","ARHGEF10L",4147
"236","ACTL8",1106
"237","IGSF21",1449
"238","KLHDC7A",2334
"239","PAX7",1716
"240","TAS1R2",2545
"241","ALDH4A1",1762
"242","IFFO2",1594
"243","UBR4",16371
"244","EMC1",3106
"245","MRTO4",755
"246","AKR7A3",1026
"247","AKR7A2",1110
"248","SLC66A1",906
"249","CAPZB",1143
"250","MICOS10",252
"251","NBL1",752
"252","HTR6",1333
"253","TMCO4",2053
"254","RNF186",684
"255","OTUD3",1232
"256","PLA2G2E",444
"257","PLA2G2A",450
"258","PLA2G5",432
"259","PLA2G2D",453
"260","PLA2G2F",656
"261","PLA2G2C",512
"262","UBXN10",843
"263","VWA5B1",3766
"264","CAMK2N1",242
"265","MUL1",1074
"266","FAM43B",990
"267","CDA",456
"268","PINK1",1781
"269","DDOST",1421
"270","KIF17",3160
"271","SH2D5",1312
"272","HP1BP3",1771
"273","EIF4G3",6172
"274","ECE1",2820
"275","NBPF3",2042
"276","ENSG00000289715",149
"277","ALPL",1625
"278","RAP1GAP",2637
"279","USP48",3347
"280","LDLRAD2",839
"281","HSPG2",13656
"282","CELA3B",848
"283","CELA3A",848
"284","CDC42",732
"285","ENSG00000289694",688
"286","WNT4",1076
"287","ZBTB40",3800
"288","EPHA8",3268
"289","C1QA",977
"290","C1QC",841
"291","C1QB",1147
"292","EPHB2",3328
"293","LACTBL1",1770
"294","TEX46",540
"295","KDM1A",2935
"296","LUZP1",3247
"297","HTR1D",1134
"298","HNRNPR",1956
"299","ZNF436",1423
"300","TCEA3",1141
"301","ASAP3",2855
"302","E2F2",1344
"303","ID3",365
"304","RPL11",562
"305","ELOA",2369
"306","PITHD1",661
"307","LYPLA2",805
"308","GALE",1092
"309","HMGCL",1018
"310","FUCA1",1436
"311","CNR2",1083
"312","PNRC2",596
"313","SRSF10",910
"314","MYOM3",4594
"315","IL22RA1",1755
"316","IFNLR1",1719
"317","GRHL3",2237
"318","STPG1",1040
"319","NIPAL3",1405
"320","RCAN3",741
"321","NCMAP",319
"322","SRRM1",2842
"323","CLIC4",787
"324","RUNX3",1329
"325","SYF2",762
"326","RSRP1",942
"327","RHD",1686
"328","TMEM50A",499
"329","RHCE",1402
"330","MACO1",2045
"331","LDLRAP1",967
"332","MAN1C1",1948
"333","MTFR1L",904
"334","AUNIP",1157
"335","PAQR7",1041
"336","STMN1",614
"337","PAFAH2",1224
"338","EXTL1",2081
"339","SLC30A2",1154
"340","TRIM63",1102
"341","PDIK1L",1031
"342","FAM110D",816
"343","C1orf232",664
"344","ZNF593",504
"345","ZNF593OS",197
"346","CNKSR1",2263
"347","CATSPER4",1464
"348","CEP85",2349
"349","SH3BGRL3",340
"350","UBXN11",1628
"351","CD52",191
"352","CRYBG2",6063
"353","ZNF683",1600
"354","LIN28A",645
"355","DHDDS",1509
"356","HMGN2",298
"357","RPS6KA1",2514
"358","ARID1A",6953
"359","PIGV",1574
"360","ZDHHC18",1202
"361","SFN",747
"362","GPN2",987
"363","GPATCH3",1608
"364","NR0B2",779
"365","NUDC",1036
"366","KDF1",1207
"367","TRNP1",684
"368","TENT5B",1283
"369","SLC9A1",2683
"370","WDTC1",2104
"371","TMEM222",687
"372","SYTL1",1754
"373","MAP3K6",4007
"374","FCN3",940
"375","CD164L2",552
"376","GPR3",993
"377","WASF2",1532
"378","AHDC1",4812
"379","FGR",1640
"380","IFI6",432
"381","FAM76A",1098
"382","STX12",871
"383","PPP1R8",1086
"384","THEMIS2",1957
"385","RPA2",1149
"386","SMPDL3B",1517
"387","XKR8",1198
"388","EYA3",1912
"389","PTAFR",1029
"390","DNAJC8",802
"391","ATP5IF1",423
"392","SESN2",1488
"393","MED18",632
"394","PHACTR4",2218
"395","RCC1",1404
"396","TRNAU1AP",904
"397","TAF12",986
"398","RAB42",662
"399","GMEB1",1762
"400","YTHDF2",1760
"401","OPRD1",1129
"402","EPB41",3144
"403","TMEM200B",924
"404","SRSF4",1510
"405","MECR",1167
"406","PTPRU",4514
"407","ENSG00000289710",171
"408","MATN1",1526
"409","LAPTM5",824
"410","SDC3",1429
"411","PUM1",3783
"412","NKAIN1",654
"413","SNRNP40",1202
"414","ZCCHC17",1042
"415","FABP3",417
"416","SERINC2",1541
"417","TINAGL1",1454
"418","HCRTR1",1393
"419","PEF1",875
"420","COL16A1",5334
"421","ADGRB2",4941
"422","SPOCD1",3898
"423","PTP4A2",524
"424","ENSG00000288678",125
"425","KHDRBS1",1372
"426","TMEM39B",1519
"427","KPNA6",1676
"428","TXLNA",1686
"429","CCDC28B",798
"430","IQCC",1661
"431","DCDC2B",1090
"432","TMEM234",765
"433","EIF3I",1960
"434","FAM167B",497
"435","LCK",1844
"436","HDAC1",1514
"437","MARCKSL1",593
"438","FAM229A",394
"439","TSSK3",812
"440","BSDC1",1505
"441","ZBTB8B",1498
"442","ZBTB8A",1336
"443","ZBTB8OS",655
"444","RBBP4",1356
"445","SYNC",1531
"446","KIAA1522",3470
"447","YARS1",1647
"448","S100PBP",1247
"449","FNDC5",859
"450","HPCA",592
"451","TMEM54",694
"452","RNF19B",2263
"453","AK2",891
"454","AZIN2",1483
"455","TRIM62",1496
"456","ZNF362",1298
"457","A3GALT2",1043
"458","PHC2",2711
"459","ZSCAN20",3179
"460","CSMD2",11442
"461","HMGB4",561
"462","C1orf94",1827
"463","GJB5",822
"464","GJB4",801
"465","GJB3",813
"466","GJA4",1002
"467","SMIM12",279
"468","DLGAP3",2985
"469","ENSG00000284773",173
"470","TMEM35B",475
"471","ZMYM6",4130
"472","ZMYM1",3469
"473","SFPQ",2232
"474","ZMYM4",4792
"475","KIAA0319L",3245
"476","NCDN",2220
"477","TFAP2E",1359
"478","PSMB2",631
"479","C1orf216",690
"480","CLSPN",4232
"481","AGO4",2671
"482","AGO1",2664
"483","AGO3",2707
"484","TEKT2",1333
"485","ADPRS",1117
"486","COL8A2",2117
"487","TRAPPC3",706
"488","MAP7D1",2606
"489","THRAP3",2966
"490","SH3D21",2346
"491","EVA1B",503
"492","STK40",1530
"493","LSM10",372
"494","OSCP1",1378
"495","MRPS15",809
"496","CSF3R",2769
"497","GRIK3",2886
"498","ZC3H12A",1820
"499","MEAF6",726
"500","SNIP1",1206
"501","DNALI1",868
"502","GNL2",2271
"503","RSPO1",828
"504","AIRIM",627
"505","CDCA8",888
"506","EPHA10",3192
"507","MANEAL",1389
"508","YRDC",860
"509","C1orf122",343
"510","MTF1",2307
"511","INPP5B",3277
"512","SF3A3",1586
"513","FHL3",863
"514","UTP11",797
"515","POU3F1",1356
"516","RRAGC",1230
"517","MYCBP",332
"518","ENSG00000274944",353
"519","GJA9",1548
"520","RHBDL2",944
"521","AKIRIN1",599
"522","NDUFS5",326
"523","MACF1",23628
"524","BMP8A",1239
"525","PABPC4",2158
"526","HEYL",1007
"527","NT5C1A",1132
"528","HPCAL4",586
"529","PPIE",1117
"530","BMP8B",1239
"531","OXCT2",1554
"532","TRIT1",1454
"533","MYCL",1317
"534","MFSD2A",1697
"535","CAP1",1483
"536","PPT1",1163
"537","RLF",5780
"538","TMCO2",554
"539","ZMPSTE24",1473
"540","COL9A2",2225
"541","SMAP2",1426
"542","ZFP69B",1625
"543","ZFP69",1601
"544","EXO5",1122
"545","ZNF684",1276
"546","RIMS3",952
"547","NFYC",1422
"548","KCNQ4",2153
"549","CITED4",555
"550","CTPS1",1994
"551","SLFNL1",1239
"552","SCMH1",2171
"553","FOXO6",1518
"554","EDN2",557
"555","HIVEP3",7246
"556","ENSG00000284895",86
"557","GUCA2B",349
"558","GUCA2A",358
"559","FOXJ3",1924
"560","RIMKLA",1196
"561","ZMYND12",1133
"562","PPCS",973
"563","CCDC30",3251
"564","PPIH",574
"565","YBX1",1005
"566","CLDN19",808
"567","P3H1",2638
"568","C1orf50",620
"569","TMEM269",632
"570","SVBP",206
"571","ERMAP",1473
"572","ZNF691",1013
"573","SLC2A1",1693
"574","CFAP144",472
"575","EBNA1BP2",1131
"576","CFAP57",4127
"577","TMEM125",660
"578","C1orf210",347
"579","TIE1",3627
"580","MPL",1963
"581","CDC20",1545
"582","ELOVL1",870
"583","MED8",943
"584","SZT2",10701
"585","HYI",1044
"586","PTPRF",5991
"587","KDM4A",3295
"588","ST3GAL3",2009
"589","ARTN",787
"590","IPO13",3036
"591","DPH2",1495
"592","ATP6V0B",1035
"593","B4GALT2",1238
"594","SLC6A9",2688
"595","CCDC24",959
"596","KLF17",1180
"597","KLF18",3164
"598","DMAP1",1449
"599","ERI3",1220
"600","RNF220",1766
"601","TMEM53",1027
"602","ARMH1",1373
"603","KIF2C",2284
"604","RPS8",652
"605","BEST4",1462
"606","PLK3",2011
"607","DYNLT4",666
"608","BTBD19",911
"609","PTCH2",3735
"610","EIF2B3",1443
"611","HECTD3",2752
"612","UROD",1149
"613","ZSWIM5",3623
"614","HPDL",1116
"615","MUTYH",1740
"616","TOE1",1568
"617","TESK2",1761
"618","CCDC163",487
"619","MMACHC",864
"620","PRDX1",620
"621","AKR1A1",1015
"622","NASP",2503
"623","CCDC17",1929
"624","GPBP1L1",1470
"625","TMEM69",749
"626","IPP",1790
"627","MAST2",5616
"628","PIK3R3",1431
"629","P3R3URF-PIK3R3",1569
"630","P3R3URF",293
"631","TSPAN1",756
"632","POMGNT1",2482
"633","LURAP1",725
"634","RAD54L",2329
"635","LRRC41",2484
"636","UQCRH",291
"637","NSUN4",3139
"638","FAAH",1810
"639","DMBX1",1149
"640","TMEM275",534
"641","KNCN",390
"642","MKNK1",1497
"643","MOB3C",661
"644","ATPAF1",1101
"645","TEX38",626
"646","EFCAB14",1766
"647","CYP4B1",1594
"648","CYP4A11",1669
"649","CYP4X1",1585
"650","CYP4Z1",1573
"651","CYP4A22",1669
"652","PDZK1IP1",360
"653","TAL1",1006
"654","STIL",3942
"655","CMPK1",803
"656","FOXE3",960
"657","FOXD2",1488
"658","TRABD2B",1584
"659","SLC5A9",2191
"660","SPATA6",1527
"661","AGBL4",1608
"662","BEND5",1291
"663","ELAVL4",1439
"664","DMRTA2",1634
"665","FAF1",2043
"666","CDKN2C",512
"667","C1orf185",620
"668","RNF11",475
"669","TTC39A",2363
"670","EPS15",3018
"671","OSBPL9",2430
"672","NRDC",3820
"673","RAB3B",675
"674","TXNDC12",561
"675","KTI12",1065
"676","BTF3L4",502
"677","ZFYVE9",4358
"678","CC2D1B",2687
"679","ORC1",2661
"680","PRPF38A",984
"681","TUT4",5123
"682","GPX7",574
"683","SHISAL2A",583
"684","COA7",706
"685","ZYG11B",2308
"686","ZYG11A",2345
"687","ECHDC2",924
"688","SCP2",1741
"689","PODN",2066
"690","SLC1A7",1977
"691","CPT2",2088
"692","CZIB",518
"693","MAGOH",461
"694","LRP8",3255
"695","DMRTB1",1044
"696","GLIS1",2433
"697","NDC1",2110
"698","YIPF1",956
"699","DIO1",713
"700","IFT25",819
"701","LRRC42",1317
"702","LDLRAD1",707
"703","TMEM59",1052
"704","TCEANC2",1125
"705","CDCP2",1878
"706","CYB5RL",1040
"707","MRPL37",1562
"708","SSBP3",1252
"709","ACOT11",2062
"710","FAM151A",1793
"711","MROH7",4262
"712","TTC4",1209
"713","PARS2",1428
"714","TTC22",1841
"715","CIMAP2",1365
"716","DHCR24",1632
"717","TMEM61",643
"718","BSND",978
"719","PCSK9",2491
"720","USP24",8257
"721","PLPP3",961
"722","PRKAA2",1699
"723","FYB2",2282
"724","C8A",1809
"725","C8B",1831
"726","DAB1",1879
"727","OMA1",1610
"728","TACSTD2",972
"729","MYSM1",2677
"730","JUN",1062
"731","FGGY",1803
"732","HOOK1",2292
"733","CYP2J2",1549
"734","C1orf87",1691
"735","NFIA",2210
"736","TM2D1",773
"737","PATJ",6057
"738","L1TD1",2603
"739","KANK4",3028
"740","USP1",2393
"741","DOCK7",6778
"742","ANGPTL3",1413
"743","ATG4C",1422
"744","FOXD3",1437
"745","ALG6",1589
"746","ITGB3BP",691
"747","EFCAB7",1950
"748","PGM1",2169
"749","ROR1",2859
"750","UBE2U",1017
"751","CACHD1",3955
"752","RAVER2",2131
"753","JAK1",3580
"754","AK4",692
"755","DNAJC6",3028
"756","LEPROT",620
"757","LEPR",3859
"758","PDE4B",2692
"759","SGIP1",3143
"760","DYNLT5",555
"761","INSL5",413
"762","DNAI4",2719
"763","MIER1",1923
"764","SLC35D1",1123
"765","C1orf141",1451
"766","IL23R",2039
"767","IL12RB2",2659
"768","SERBP1",1262
"769","GADD45A",513
"770","GNG12",224
"771","DIRAS3",690
"772","WLS",1807
"773","RPE65",1667
"774","DEPDC1",2491
"775","LRRC7",4871
"776","LRRC40",1879
"777","SRSF11",1531
"778","ANKRD13C",1686
"779","CTH",1273
"780","PTGER3",1485
"781","ZRANB2",1074
"782","NEGR1",1095
"783","LRRIQ3",1969
"784","FPGT-TNNI3K",3073
"785","FPGT",1880
"786","TNNI3K",2628
"787","LRRC53",3759
"788","ERICH3",4687
"789","CRYZ",1025
"790","TYW3",805
"791","LHX8",1195
"792","SLC44A5",2379
"793","ACADM",1523
"794","RABGGTB",1077
"795","MSH4",2906
"796","ASB17",898
"797","ST6GALNAC3",938
"798","ST6GALNAC5",1031
"799","PIGK",1248
"800","AK5",1754
"801","ZZZ3",2788
"802","USP33",2953
"803","MIGA1",2221
"804","NEXN",2083
"805","FUBP1",2227
"806","DNAJB4",1024
"807","GIPC2",973
"808","PTGFR",1161
"809","IFI44L",1394
"810","IFI44",1370
"811","ADGRL4",2143
"812","ADGRL2",4920
"813","TTLL7",2806
"814","PRKACB",1472
"815","SAMD13",397
"816","DNASE2B",1111
"817","RPF1",1111
"818","GNG5",212
"819","SPATA1",1383
"820","CTBS",1188
"821","SSX2IP",1939
"822","LPAR3",1067
"823","MCOLN2",1766
"824","MCOLN3",1735
"825","DNAI3",2781
"826","SYDE2",4206
"827","C1orf52",590
"828","BCL10",712
"829","DDAH1",889
"830","CCN1",1166
"831","ZNHIT6",1458
"832","COL24A1",5440
"833","ODF2L",2233
"834","CLCA2",2897
"835","CLCA1",2810
"836","CLCA4",2825
"837","SH3GLB1",1259
"838","SELENOF",460
"839","HS2ST1",1111
"840","ENSG00000267561",947
"841","LMO4",513
"842","PKN2",3196
"843","GTF2B",981
"844","KYAT3",1425
"845","RBMXL1",1173
"846","GBP3",1833
"847","GBP1",1838
"848","GBP2",1821
"849","GBP7",1962
"850","GBP4",1973
"851","GBP5",1806
"852","GBP6",1947
"853","ENSG00000288629",63
"854","LRRC8B",2476
"855","LRRC8C",2417
"856","LRRC8D",2577
"857","ZNF326",1806
"858","BARHL2",1174
"859","ZNF644",4004
"860","HFM1",4493
"861","CDC7",1775
"862","TGFBR3",2631
"863","BRDT",2929
"864","EPHX4",1119
"865","SETSIP",879
"866","BTBD8",5476
"867","C1orf146",563
"868","GLMN",1870
"869","RPAP2",1894
"870","GFI1",1294
"871","EVI5",2871
"872","RPL5",929
"873","DIPK1A",1324
"874","MTF2",1852
"875","TMED5",774
"876","CCDC18",4503
"877","DR1",541
"878","FNBP1L",1915
"879","BCAR3",2615
"880","DNTTIP2",2301
"881","GCLM",855
"882","ABCA4",7313
"883","ARHGAP29",3927
"884","ABCD3",2119
"885","F3",913
"886","SLC44A3",2032
"887","CNN3",1020
"888","ALG14",666
"889","TLCD4",817
"890","TLCD4-RWDD3",636
"891","RWDD3",831
"892","PTBP2",1703
"893","DPYD",3229
"894","SNX7",1396
"895","PLPPR5",1260
"896","PLPPR4",2178
"897","PALMD",1732
"898","FRRS1",1979
"899","AGL",4796
"900","SLC35A3",1428
"901","ENSG00000283761",2217
"902","MFSD14A",1528
"903","SASS6",2054
"904","TRMT13",1520
"905","LRRC39",1113
"906","DBT",1656
"907","RTCA",1197
"908","CDC14A",2121
"909","GPR88",1155
"910","VCAM1",2260
"911","EXTL2",1008
"912","SLC30A7",1181
"913","DPH5",888
"914","S1PR1",1149
"915","OLFM3",1592
"916","COL11A1",6156
"917","RNPC3",1619
"918","AMY2B",1581
"919","AMY2A",1581
"920","AMY1A",1581
"921","AMY1B",1581
"922","AMY1C",1581
"923","PRMT6",1128
"924","NTNG1",1786
"925","VAV3",2786
"926","SLC25A24",1632
"927","NBPF4",2074
"928","NBPF6",2074
"929","EEIG2",1163
"930","HENMT1",1310
"931","PRPF38B",1683
"932","FNDC7",2257
"933","STXBP3",1869
"934","AKNAD1",2702
"935","GPSM2",2285
"936","CLCC1",1777
"937","WDR47",2849
"938","TAF13",517
"939","TMEM167B",376
"940","CFAP276",578
"941","ELAPOR1",3147
"942","SARS1",1666
"943","CELSR2",8937
"944","PSRC1",1149
"945","MYBPHL",1100
"946","SORT1",2591
"947","PSMA5",766
"948","SYPL2",844
"949","ATXN7L2",2359
"950","CYB561D1",899
"951","AMIGO1",1482
"952","GPR61",1373
"953","GNAI3",1100
"954","GNAT2",1100
"955","AMPD2",2609
"956","GSTM4",929
"957","GSTM2",818
"958","GSTM1",749
"959","GSTM5",748
"960","GSTM3",713
"961","EPS8L3",1870
"962","CSF1",1700
"963","AHCYL1",1673
"964","STRIP1",2614
"965","ALX3",1047
"966","UBL4B",525
"967","SLC6A17",2234
"968","KCNC4",2045
"969","RBM15",2996
"970","SLC16A4",1519
"971","LAMTOR5",572
"972","PROK1",328
"973","KCNA10",1536
"974","KCNA2",1750
"975","KCNA3",1728
"976","CD53",690
"977","LRIF1",2325
"978","DRAM2",831
"979","CEPT1",1376
"980","DENND2D",1532
"981","CHI3L2",1218
"982","CHIA",1481
"983","CIMAP3",601
"984","OVGP1",2087
"985","WDR77",1074
"986","ATP5PB",801
"987","C1orf162",488
"988","TMIGD3",1179
"989","ADORA3",986
"990","RAP1A",580
"991","INKA2",948
"992","DDX20",2538
"993","KCND3",1998
"994","CTTNBP2NL",1935
"995","WNT2B",1329
"996","ST7L",1834
"997","CAPZA1",906
"998","MOV10",3167
"999","RHOC",676
"1000","PPM1J",1563
"1001","TAFA3",525
"1002","SLC16A1",1518
"1003","LRIG2",3283
"1004","MAGI3",4678
"1005","PHTF1",2395
"1006","RSBN1",2439
"1007","PTPN22",2550
"1008","BCL2L15",533
"1009","AP4B1",2265
"1010","DCLRE1B",1614
"1011","HIPK1",3800
"1012","OLFML3",1288
"1013","SYT6",1637
"1014","TRIM33",3479
"1015","BCAS2",708
"1016","DENND2C",2872
"1017","AMPD1",2319
"1018","NRAS",585
"1019","CSDE1",2678
"1020","SIKE1",656
"1021","SYCP1",3081
"1022","TSHB",422
"1023","TSPAN2",701
"1024","NGF",726
"1025","VANGL1",1605
"1026","CASQ2",1250
"1027","NHLH2",408
"1028","SLC22A15",1699
"1029","MAB21L3",1114
"1030","ATP1A1",3197
"1031","CD58",794
"1032","IGSF3",3695
"1033","CD2",1093
"1034","PTGFRN",2680
"1035","CD101",3106
"1036","TTF2",3599
"1037","TRIM45",1837
"1038","VTCN1",913
"1039","MAN1A2",1986
"1040","TENT5C",1176
"1041","GDAP2",1596
"1042","WDR3",3012
"1043","SPAG17",6907
"1044","TBX15",1844
"1045","WARS2",1137
"1046","HAO2",1130
"1047","HSD3B2",1129
"1048","HSD3B1",1132
"1049","ZNF697",1643
"1050","PHGDH",1676
"1051","HMGCS2",1567
"1052","REG4",734
"1053","ADAM30",2373
"1054","NOTCH2",7657
"1055","SEC22B",668
"1056","NBPF8",2924
"1057","NBPF26",5197
"1058","NOTCH2NLR",1030
"1059","PPIAL4A",495
"1060","FAM72B",620
"1061","SRGAP2C",1420
"1062","H3-7",411
"1063","FAM72C",465
"1064","PPIAL4E",495
"1065","NBPF15",2083
"1066","PPIAL4F",495
"1067","SRGAP2B",1420
"1068","FAM72D",465
"1069","PPIAL4D",495
"1070","NBPF20",17621
"1071","GPR89A",1433
"1072","PDZK1",1595
"1073","CD160",725
"1074","RNF115",955
"1075","POLR3C",1670
"1076","NUDT17",1022
"1077","PIAS3",1952
"1078","ANKRD35",3066
"1079","ITGA10",3649
"1080","PEX11B",812
"1081","RBM8A",550
"1082","LIX1L",1039
"1083","ANKRD34A",1491
"1084","POLR3GL",687
"1085","TXNIP",1294
"1086","HJV",1291
"1087","NBPF10",12045
"1088","NOTCH2NLA",972
"1089","PPIAL4H",495
"1090","NBPF12",4524
"1091","PRKAB2",849
"1092","FMO5",1778
"1093","CHD1L",2804
"1094","ENSG00000288626",207
"1095","BCL9",4311
"1096","ACP6",1370
"1097","GJA5",1077
"1098","GJA8",1302
"1099","GPR89B",1433
"1100","NBPF11",2693
"1101","PPIAL4G",495
"1102","NBPF14",9312
"1103","NOTCH2NLB",770
"1104","NUDT4B",546
"1105","PDE4DIP",9460
"1106","NBPF9",3451
"1107","NOTCH2NLC",902
"1108","ENSG00000286185",11992
"1109","NBPF19",11992
"1110","PPIAL4C",495
"1111","FCGR1A",1150
"1112","H2BC18",412
"1113","H3C13",411
"1114","H4C14",312
"1115","H3C14",411
"1116","H2AC18",393
"1117","H2AC19",393
"1118","H3C15",411
"1119","H4C15",312
"1120","H2BC21",381
"1121","H2AC20",390
"1122","H2AC21",393
"1123","BOLA1",414
"1124","SV2A",2286
"1125","SF3B4",1300
"1126","MTMR11",2247
"1127","OTUD7B",2582
"1128","VPS45",2344
"1129","PLEKHO1",1255
"1130","ANP32E",837
"1131","CA14",1064
"1132","APH1A",836
"1133","C1orf54",484
"1134","CIART",1178
"1135","MRPS21",269
"1136","PRPF3",2122
"1137","RPRD2",4456
"1138","TARS2",2242
"1139","ECM1",1755
"1140","ADAMTSL4",3451
"1141","MCL1",1074
"1142","ENSA",784
"1143","GOLPH3L",873
"1144","HORMAD1",1250
"1145","CTSS",1104
"1146","CTSK",1356
"1147","ARNT",2475
"1148","CTXND2",168
"1149","SETDB1",4031
"1150","CERS2",1349
"1151","ANXA9",1093
"1152","MINDY1",1450
"1153","PRUNE1",1495
"1154","BNIPL",1119
"1155","C1orf56",1031
"1156","CDC42SE1",250
"1157","MLLT11",273
"1158","GABPB2",1382
"1159","SEMA6C",2974
"1160","TNFAIP8L2",555
"1161","LYSMD1",733
"1162","SCNM1",723
"1163","TMOD4",1078
"1164","VPS72",1120
"1165","PIP5K1A",1759
"1166","PSMD4",1188
"1167","ZNF687",3749
"1168","PI4KB",2542
"1169","RFX5",1891
"1170","SELENBP1",1602
